,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_sqr,AcidoCitrico_exp,Azucar_sqr,CloruroSodico_sqr,Densidad_raiz4,pH_sqrt,Sulfatos_sqr,Alcohol_sqrt,CalifProductor_sqrt,PrecioBotella_sqr,aleatorio_sqrt,aleatorio2_log,Beneficio
0,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,3.5,2,1.0,M,***,Reg 1,7.142857142857142,0.275471468885894,0.4698663134999097,8.309692455502395,5.573396220385179,13.876088664498589,2.513187499078007,1.4529331297487582,1.8198244077984855,10.495839422031727,0.9946616188708319,1.3645593560288818,1e-08,0.9779360287826392,0.48108546786754236,515
1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3,3.38,M,***,Reg 3,0.0,0.47655076232989024,0.1304155542460813,37.42227238131819,5.132738376365246,11.460500237838756,9.338611387374154,1.334062311994449,1.7099440636008822,9.022387198339834,2.4936426707704062,1.6712221139600012,2.613945453915255,1.2864137874545718,-0.80075828556602,585
2,-1.22,0.34,1.4,0.04,1.03236,3.2,0.72,11.6,2,6.23,B,***,Reg 2,7.142857142857142,0.24610733860931555,0.039452250336922234,1.1722134088067866,21.566660754236345,8.89515670887253,9.397066990007234,1.4669761189077763,1.7444907082820547,10.635313166917717,1.8107354573870202,1.3645593560288818,12.621666713927839,0.9243131959049693,-1.9967808625272248,775
3,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1,2.44,R,Desc,Reg 2,0.0,0.5252778326104236,0.3833443943448136,9.157458189220398,49.72799231354871,10.749269923956952,8.502216307917614,1.338270760639726,2.371488252414622,7.660326419746937,2.059065394147907,0.9649150833430776,0.9569795554811767,1.3506023341344355,0.2775605081931166,596
4,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3,4.31,R,****,Reg 2,0.0,0.6821636569126442,0.6827470045193774,5.697821499386788,22.873544668585676,8.967034055989274,4.228815023318134,1.0636626272817344,1.6968077459318867,10.84624989135051,1.8871688450684743,1.6712221139600012,5.055725657727148,1.5391915536712877,0.8547761751783253,1083
5,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5,4.75,R,**,Reg 1,0.0,0.04131285928550643,0.17509660732889387,8.76700635337258,25.729692801047534,10.582355777914184,6.054882238634648,1.5442672845384544,1.661269814333579,4.242492754562229,1.6979582451334554,2.1575230219663686,6.489115658005625,0.3780841935306864,-0.5061034412176889,596
6,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2,1.24,B,**,Reg 1,0.0,0.3903125501228929,0.9180149976512201,9.63722869738497,4.15304938293947,9.184401508413359,21.0406092566441,1.1944532188185222,1.888215169896158,2.4532265138997764,1.0499567025921326,1.3645593560288818,0.0266099460777734,1.1641689870932372,1.1508737597449439,499
7,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3,4.44,MB,***,Reg 3,0.0,0.8794159061354822,0.9726823254890745,9.556416316846391,21.566660754236345,8.87723256509006,9.43613871554967,1.1237293917155065,1.6249548502581226,23.096734515404574,1.8416895063777663,1.6712221139600012,5.4606323452814305,1.7476607094240102,1.2087189133533058,911
8,0.51,1.83,2.9,-0.165,0.9974,5.26,2.23,12.1,4,2.55,R,Desc,Reg 1,0.0,0.6753038075849734,0.42160867434657956,11.150034582842142,124.50584353393879,9.166188129451914,5.82218261225473,1.3431715845886592,2.4731013819139074,23.824131067093155,1.8493470667286414,1.9297524380738358,1.1087529049606288,1.531431081296235,0.37270948380717744,773
9,0.76,0.33,-26.0,-0.195,0.9885,3.07,0.56,11.4,1,5.26,M,*,Reg 1,0.0,0.9017040588168619,0.8073251448193753,13.434039141430127,21.31438440173779,4.660046620531951,5.3704620707466635,1.3054638779196126,1.6879934075685303,9.545299740579978,1.795058279278665,0.9649150833430776,8.374099088551626,1.7696727627705935,1.0223832502013415,346
